,error_x,error_y
0,7.50902,7.5730925
1,1.8881987,1.8841611
2,2.5167818,2.491737
3,2.3750017,2.3769252
4,2.2938452,2.2914345
5,2.628642,2.6355693
6,2.6602304,2.6438997
7,2.9056144,2.8860447
8,2.6697338,2.631781
9,2.5346837,2.5172927
10,2.4558103,2.4605625
11,14.319946,14.5776415
12,2.3765795,2.3844376
13,13.544589,13.476758
14,2.612912,2.5850544
15,8.84173,8.81013
16,2.1809983,2.184756
17,2.5486584,2.5342185
18,6.1374564,6.29373
19,2.5440605,2.5298252
20,2.4607012,2.4672234
21,2.1346197,2.1351192
22,2.4116614,2.3819015
23,2.7058146,2.70106
24,12.838777,13.085187
25,2.587977,2.5774443
26,9.037746,9.146041
27,2.7586374,2.7323055
28,8.756588,8.928731
29,3.0364788,3.0308702
30,13.860328,13.81658
31,17.865828,17.803015
32,12.500406,12.8154
33,2.113241,2.0960534
34,2.4165378,2.4153688
35,10.432707,10.25712
36,2.3205447,2.2893958
37,2.4533916,2.4378176
38,2.2660596,2.2572093
39,6.9639225,7.087039
40,2.3559887,2.3610287
41,2.5636148,2.5221334
42,14.694884,14.767731
43,2.567582,2.556111
44,9.583065,9.852438
45,2.4263797,2.4171903
46,8.994171,9.114871
47,7.0140696,7.188484
48,17.057722,16.802372
49,2.4599063,2.4710279
50,17.397877,17.159006
51,2.3872306,2.3621879
52,8.617947,8.716635
53,2.1258087,2.117599
54,7.8664055,8.088533
55,2.4918923,2.4936333
56,2.738372,2.712392
57,13.701716,13.809199
58,12.515781,13.015787
59,2.3881025,2.3778424
60,14.283664,14.369207
61,10.328525,10.337927
62,15.602413,15.860416
63,2.358254,2.3623521
64,2.2194283,2.2185886
65,2.5734336,2.5573812
66,2.8611429,2.8505988
67,2.4903357,2.4765244
68,2.489963,2.476639
69,11.479839,11.796548
70,17.613142,17.467697
71,13.425665,13.322055
72,2.8304224,2.8103962
73,2.7080142,2.7004101
74,2.3438292,2.325503
75,12.3616495,12.244603
76,2.5478244,2.5404668
77,13.040408,12.995914
78,16.504164,16.60207
79,2.5482516,2.531626
80,15.152396,15.207645
81,2.4884987,2.4610054
82,2.4985707,2.4790862
83,15.866523,16.52224
84,13.528769,13.819042
85,2.6649783,2.6404126
86,2.6492538,2.6226058
87,13.802644,13.934085
88,2.6031327,2.6090727
89,2.659248,2.6311328
90,15.619166,15.558562
91,2.51105,2.4925265
92,14.693668,14.409172
93,2.4654326,2.4610634
94,12.897631,12.839484
95,2.6718738,2.640943
96,14.916782,14.844377
97,21.2064,21.338688
98,2.9326954,2.9386675
99,2.5409513,2.5180666
100,15.955021,15.662509
101,2.5928593,2.5934668
102,2.5359304,2.511619
103,2.5742214,2.5562901
104,2.7646155,2.7711415
105,2.7192395,2.6906826
106,2.7666914,2.7439537
107,9.141511,8.943758
108,2.5336084,2.524801
109,9.7310505,9.911565
110,2.3391867,2.3443708
111,11.666091,11.779287
112,2.625469,2.6010377
113,9.396699,9.460884
114,2.4538443,2.4599195
115,11.875521,11.97168
116,2.4502914,2.440313
117,13.578613,13.470644
118,2.5491712,2.53156
119,10.9424,11.007431
120,2.3000178,2.2992108
121,14.64332,14.482992
122,9.809505,9.733884
123,2.5506587,2.5333557
124,11.716943,11.545174
125,2.8582616,2.8296385
126,2.859977,2.85335
127,11.039736,10.861604
128,11.679115,11.707864
129,2.796592,2.7884953
130,12.006982,12.106389
131,2.5020192,2.4817727
132,10.177694,10.11044
133,2.6140645,2.5989537
134,10.285952,10.214489
135,2.7654698,2.7365408
136,15.480807,16.328814
137,12.910884,12.694667
138,2.705528,2.7025378
139,2.396246,2.3692558
140,15.37089,15.518681
141,15.541203,15.450882
142,11.598744,11.628432
143,2.7618454,2.7582836
144,2.2611225,2.2347364
145,11.234608,11.263892
146,15.595219,15.791278
147,12.838181,13.181024
148,2.6072142,2.5960083
149,15.09159,14.886544
150,12.984922,12.898728
151,12.107613,12.22756
152,13.093977,12.881877
153,14.312916,14.905589
154,2.5054219,2.4937613
155,9.970376,9.800405
156,2.651985,2.6272256
157,2.6326287,2.6251066
158,9.454269,9.657897
159,12.206526,12.132822
160,2.8098872,2.7640486
161,13.745296,13.840056
162,10.747603,10.638663
163,2.3539386,2.341237
164,2.482078,2.4596467
165,14.169948,14.401827
166,10.642033,10.712766
167,2.2927454,2.2676594
168,9.6603985,9.631324
169,15.544336,15.500372
170,10.504763,10.337013
171,2.2100503,2.1890242
172,13.964824,13.85277
173,2.5953484,2.5880506
174,14.731854,15.132476
175,2.9657207,2.9274702
176,8.94825,9.096775
177,17.649796,17.9091
178,11.204785,11.061691
179,2.1543345,2.1419342
180,9.601718,9.479745
181,2.5423713,2.5354352
182,2.2260947,2.2238078
183,15.809196,15.800586
184,2.7809794,2.774777
185,2.7403166,2.727551
186,15.655342,15.4007845
187,2.8399925,2.8114994
188,2.6857457,2.708759
189,13.78123,14.200417
190,2.825659,2.8047976
191,2.3348565,2.3000638
192,2.706965,2.6937568
193,12.192199,12.304534
194,2.300899,2.2868252
195,2.6832156,2.6662467
196,17.555265,17.565355
197,16.141579,16.311363
198,2.737156,2.725381
199,11.178488,11.197228
200,13.114432,12.920668
201,2.3950126,2.4045193
202,12.343006,12.572425
203,2.6541502,2.6370432
204,2.303704,2.2831607
205,12.555628,12.554183
206,2.5733933,2.5577667
207,8.514111,8.439634
208,6.016994,6.025916
209,2.3564534,2.3456917
210,18.514278,18.30989
211,2.9941044,2.9583511
212,16.97584,17.479218
213,2.6757236,2.6610696
214,2.5768735,2.5637565
215,2.451878,2.4473975
216,17.18086,16.645452
217,2.4357727,2.430274
218,2.3763144,2.3698993
219,2.8693683,2.8305304
220,15.022495,14.869439
221,2.3916383,2.3727846
222,14.976374,15.427315
223,2.6174939,2.6098113
224,2.307744,2.3067007
225,2.6876926,2.6945992
226,14.787819,15.212234
